2023.13.07 21:52:23.560239; Старт испытаний.
2023.13.07 21:52:23.563231; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.13.07 21:52:23.677966; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.13.07 21:52:23.897252; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.13.07 21:52:23.926139; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.13.07 21:52:24.040579; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.13.07 21:52:24.236063; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.13.07 21:52:24.242043; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 sent
2023.13.07 21:52:24.342777; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 answered
2023.13.07 21:52:24.398628; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000} sent
2023.13.07 21:52:24.488624; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000}, Texec=2023-07-13 21:52:25.641000 answered
2023.13.07 21:52:24.553451; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.13.07 21:52:24.764568; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-13 21:52:25.794000 answered
2023.13.07 21:52:24.804462; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182 sent
2023.13.07 21:52:25.539104; AzdkServerCommands; request time: 0.7444803999969736
2023.13.07 21:52:25.540098; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18 sent
2023.13.07 21:52:26.076300; AzdkServerCommands; request time: 0.5370147999783512
2023.13.07 21:52:26.091225; PDSServerCommands; socket was closed
2023.13.07 21:52:26.106189; AzdkServerCommands; socket was closed
2023.13.07 21:52:26.106189; Конец испытаний.
